,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,No_of_Votes,Gross,Dir_class,IsScored,Cast_class
232,2007,0,122,1,8.1,856.916,74.283625,0,True,0
234,2004,1,132,1,8.1,635.975,100.49220299999999,3,True,3
235,2004,1,121,2,8.1,334.32,23.530891999999998,0,True,0
236,2004,0,140,0,8.1,37.82,1.1110609999999999,0,True,0
237,2004,0,80,1,8.1,236.311,5.8206489999999995,2,True,1
239,2003,1,131,1,8.1,139.558,0.014131,0,True,0
241,2003,0,111,0,8.1,1000.639,70.099045,1,True,0
242,2003,2,100,2,8.1,949.565,380.843261,0,True,0
243,2002,0,141,1,8.1,832.846,164.615351,3,True,3
244,2000,0,154,0,8.1,223.741,5.383833999999999,0,True,0
245,2001,2,92,2,8.1,815.505,289.916256,0,True,0
247,2001,2,224,0,8.1,105.036,0.070147,0,True,0
248,1999,0,107,1,8.1,911.573,293.506292,0,True,1
249,1998,2,169,1,8.1,59.02,0.259127,0,True,0
250,1998,2,103,0,8.1,939.631,125.618201,0,True,0
251,1998,0,127,0,8.1,50.862,0.34865999999999997,1,True,0
252,1998,0,117,0,8.1,732.62,17.498804,3,True,2
253,2000,2,98,1,8.1,124.383,2.734044,1,True,0
254,1996,0,93,0,8.1,634.716,16.501784999999998,0,True,0
255,1996,0,98,1,8.1,617.444,24.611974999999997,2,True,1
259,1995,0,101,1,8.1,272.291,5.535405,0,True,0
260,1994,2,99,1,8.1,90.729,4.043686,1,True,0
261,1994,2,102,0,8.1,63.122,0.6002,0,True,0
262,1993,1,127,2,8.1,867.615,402.45388199999996,3,True,0
263,1993,1,133,1,8.1,156.842,25.01041,0,True,0
266,1989,2,128,0,8.1,425.457,95.86011599999999,0,True,0
267,1986,2,89,0,8.1,363.401,52.287414,0,True,0
268,1986,0,120,1,8.1,381.222,138.530565,0,True,0
269,1984,2,145,0,8.1,91.188,2.181987,0,True,0
270,1984,2,117,2,8.1,150.924,0.49577,0,True,0
271,1982,0,109,1,8.1,371.271,13.782838,0,True,0
272,1982,1,95,0,8.1,76.081,22.244207,0,True,0
274,1982,0,188,0,8.1,57.784,4.97134,3,True,0
275,1982,1,117,1,8.1,693.827,32.868943,0,True,0
277,1979,0,94,0,8.1,367.25,20.045115,0,True,0
278,1978,0,183,1,8.1,311.361,48.979327999999995,0,True,0
279,1976,2,120,1,8.1,518.546,117.235247,0,True,0
283,1974,1,130,1,8.1,294.23,29.0,1,True,0
284,1973,2,102,0,8.1,42.285000000000004,30.933743,0,True,0
288,1967,0,127,1,8.1,161.984,16.217772999999998,0,True,0
291,1966,0,121,1,8.1,53.089,0.055908,0,True,0
293,1962,1,134,0,8.1,50.058,4.05,0,True,0
300,1959,2,212,0,8.1,219.466,74.7,1,True,0
